,word,frequency
0,Paneer,11
1,Paratha,2
2,recipe,37
3,is,75
4,out,36
5,now,5
6,on,33
7,my,19
8,YouTube,10
9,channel!,5
10,Check,11
11,it,64
12,schezwan,2
13,paneer,8
14,paratha,1
15,a,107
16,Quesadilla,1
17,inspired,1
18,info,1
19,Chinese,4
20,which,16
21,super,4
22,easy,6
23,to,73
24,prep,1
25,&,55
26,turns,5
27,be,4
28,delicious.,1
29,Whole,1
30,wheat,3
31,"chapati,",1
32,"filling,",3
33,Frankie,1
34,masala,5
35,cheese!,1
36,the,85
37,#foodporn,12
38,#paratha,1
39,#indianfood,10
40,#streetfoodindia,8
41,#quesadilla,1
42,#quesadillas,1
43,#foodie,16
44,#foodpics,6
45,#mumbaistreetfood,4
46,#streetfood,14
47,#sanjyotkeer,10
48,yourfoodlab,10
49,Verified,40
50,Schezwan,1
51,out!,4
52,My,2
53,now!,4
54,#recipe,12
55,#yourfoodlab,10
56,2d,6
57,Bomb,3
58,Chaat,3
59,by,14
60,Chef,4
61,BOMB,2
62,CHAAT!!,2
63,What???,2
64,guys,3
65,went,2
66,crazy,2
67,after,2
68,I,31
69,shot,2
70,this,39
71,shared,4
72,stories.,2
73,So,7
74,finally,4
75,and,93
76,it’s,4
77,an,11
78,amazing,5
79,chaat,10
80,healthy,12
81,full,8
82,of,69
83,flavor.,2
84,Scooped,2
85,Boiled,2
86,Aloo,3
87,cups,5
88,filled,2
89,with,59
90,filling,4
91,topped,2
92,home,2
93,made,6
94,"chutneys,",3
95,flavor,5
96,bomb,6
97,too.,4
98,have,26
99,taken,2
100,inspiration,2
101,from,21
102,Kuliya,4
103,prepped,6
104,scooping,2
105,fruits,2
106,veggies,2
107,make,15
108,them,2
109,then,3
110,adding,2
111,it.,13
112,version,4
113,am,4
114,calling,2
115,Atom,3
116,because,2
117,looks,2
118,like,12
119,small,5
120,atom,2
121,in,43
122,true,2
123,sense!,2
124,NOW!,2
125,#chaat,2
126,#aloo,2
127,#aloorecipes,2
128,#chaatlover,2
129,#chaatlove,2
130,#indianstreetfood,5
131,#recipes,3
132,#inovation,2
133,#atombomb,2
134,#streetphotography,2
135,@sanjyotkeer,4
136,ATOM,2
137,You,5
138,Cheers!,9
139,4d,5
140,5d,3
141,Peri,4
142,Wrap,2
143,up,7
144,guys!,2
145,keep,2
146,asking,2
147,me,8
148,for,43
149,some,17
150,quick,3
151,recipes,2
152,one,14
153,beautiful,3
154,recipe.,3
155,peri,4
156,veggie,2
157,green,5
158,whole,3
159,wrap,2
160,"spinach,",2
161,garlic,7
162,dip,5
163,using,5
164,curd,2
165,not,6
166,mayo,2
167,hot,10
168,sauce,8
169,that,20
170,kick.,2
171,The,12
172,roll,4
173,comes,4
174,together,5
175,beautifully,3
176,tastes,2
177,incredible.,2
178,This,8
179,how,4
180,you,21
181,can,6
182,really,4
183,interesting,2
184,will,10
185,cater,2
186,your,27
187,street,4
188,food,4
189,cravings,2
190,Do,4
191,try,7
192,check,3
193,now.,2
194,Link,5
195,#indiancuisine,6
196,#wrap,2
197,#roll,2
198,#paneer,5
199,#paneerrecipes,4
200,#paneerlover,2
201,#paneerroll,2
202,Healthy,2
203,What’s,4
204,bio.,2
205,#instadaily,4
206,6d,4
207,1w,7
208,Rice,1
209,Recipe,1
210,channel,1
211,know,4
212,were,1
213,waiting,1
214,had,3
215,received,1
216,so,5
217,many,5
218,DMs,1
219,one.,1
220,all,18
221,yours.,1
222,prepared,3
223,Mexican,2
224,rice,3
225,2,13
226,ways.,1
227,first,3
228,pit,2
229,second,2
230,leftover,1
231,simple,4
232,prepare.,1
233,#mexicanfood,1
234,#mexicanrice,1
235,#mexicancuisine,1
236,#mexicanfoodporn,1
237,#foodphotography,3
238,#streetfoodmumbai,1
239,#indiaclicks,1
240,out!!!,1
241,#food,11
242,#foodstagram,2
243,Corn,4
244,crispy,10
245,corn,8
246,YFL,2
247,lot,8
248,times,2
249,such,2
250,get,5
251,wrong,2
252,times.,2
253,coating,2
254,frying,2
255,tricky,2
256,very,8
257,way,5
258,go,3
259,wrong.,2
260,Also,4
261,tossed,2
262,red,2
263,usually,2
264,we,7
265,restaurants.,2
266,speaking,2
267,"corn,",2
268,reminds,2
269,fries,2
270,gone,2
271,"viral,",2
272,has,9
273,over,6
274,50,3
275,million,2
276,views,2
277,Facebook,3
278,often,2
279,see,2
280,trick,2
281,being,3
282,tried,4
283,channels,2
284,feel,4
285,proud,2
286,about,3
287,thinking,2
288,redo,2
289,twists,2
290,"time,",2
291,let,5
292,comments,2
293,if,5
294,should,3
295,do,4
296,#corn,3
297,#sweetcorn,2
298,#cornrecipe,2
299,#homemade,6
300,#streetfoodlover,2
301,Crispy,3
302,perfect.,2
303,that!,2
304,#crispy,2
305,YouTube!,1
306,Onion,3
307,No,6
308,Garlic,4
309,Tikka,4
310,Masala,4
311,Guys!,2
312,receive,2
313,requests,2
314,prepare,2
315,no,7
316,onion,2
317,recipes.,2
318,"you,",2
319,beautiful.,2
320,included,2
321,starter,2
322,"recipe,",2
323,tikka,5
324,also,5
325,kickass,2
326,#foodiesofinstagram,5
327,#paneertikka,2
328,#paneertikkamasala,2
329,#resturant,2
330,#restuarantstyle,2
331,know!,2
332,#recipeoftheday,2
333,#noonionnogarlic,2
334,style,1
335,Restaurant,1
336,2w,1
337,Pav,9
338,Bhaji,3
339,At,7
340,Ganpati,1
341,Vada,1
342,"Bhaji,",1
343,Available,2
344,On,3
345,Swiggy,1
346,dilsefoodie,10
347,Mazedaar,1
348,Indrapuram,1
349,It's,2
350,Zomato.,1
351,#dilsefoodie,9
352,11h,1
353,South,1
354,Indian,2
355,Food,2
356,In,12
357,Jangpura,2
358,Extension,1
359,@veruanofficial,2
360,Our,3
361,New,4
362,Page,2
363,-,7
364,"#dilsecouple
1d",1
365,Best,1
366,Follow,2
367,@dilsecouple,1
368,Ke,3
369,Haath,1
370,Ki,1
371,Gol,2
372,Rotiya,1
373,Biwi,1
374,💞.,2
375,1d,3
376,Wedding,1
377,Ceremony,1
378,She,2
379,Made,1
380,Sooji,1
381,Ka,2
382,Halwa,1
383,First,2
384,Time,2
385,Her,3
386,House,2
387,Well,2
388,Done,1
389,After,2
390,@sukirti.sdhana,1
391,😍.,1
392,Review,1
393,With,4
394,💞,1
395,Extension.,1
